statement,predicted_label_id,predicted_status,confidence,
"Tôi nghĩ nó có thể là sự kết hợp của nhiều thứ. Một phần có thể là nỗi sợ không đáp ứng được kỳ vọng của mọi người, kể cả của tôi. Áp lực phải thể hiện tốt và xuất sắc trong học tập đôi khi có thể khiến bạn cảm thấy choáng ngợp. Ngoài ra, tôi có xu hướng so sánh bản thân với các bạn cùng lứa tuổi, điều này càng khiến tôi lo lắng hơn.",5,Stress,0.77260196,
"I've been trying to, but it's been challenging to move forward. I guess deep down, a part of me still hopes that we can find a way back to each other. It's hard to let go of that hope.",6,Suicidal,0.99553853,
Không phải lúc này. Sự hướng dẫn của bạn ngày hôm nay vô cùng có giá trị và tôi cảm thấy bình tĩnh và hy vọng. Cảm ơn bạn đã dành thời gian và giúp tôi vượt qua những thử thách về sức khỏe.,1,Bipolar,0.41602275,
Gần đây tôi cảm thấy thực sự buồn. Thật khó để đương đầu kể từ khi tôi ly hôn.,2,Depression,0.9994234,
"Vâng, tôn giáo là một tôn giáo lớn. Tôi đã chọn con đường tâm linh khác với gia đình mình và họ không thể chấp nhận được.",3,Normal,0.9114677,
  I'm feeling really overwhelmed with my workload and don't know how to manage my time effectively. What can I do? ,5,Stress,0.89293355,
"Tôi cảm thấy thực sự lo lắng khi đưa ra chủ đề này, nhưng tôi biết mình cần phải giải quyết nó. Đó là về xung đột gia đình tôi và nó ảnh hưởng đến tôi như thế nào. Ngoài ra, tôi còn phải vật lộn với cơn nghiện...",2,Depression,0.50666213,
", tôi đoán là tôi chỉ tò mò muốn biết làm thế nào tôi có thể xây dựng lại niềm tin và vượt qua sự phản bội này. Tôi không muốn trải nghiệm này định nghĩa tôi hoặc mối quan hệ của tôi với người khác. Điều đó có thể không?",4,Personality disorder,0.99931943,
"Tôi đã có một cuộc phỏng vấn xin việc vào tuần trước, và sự chờ đợi về nó đã khiến tôi hoàn toàn suy sụp. Suy nghĩ của tôi quay cuồng và tôi không thể bình tĩnh được dù có cố gắng thế nào đi chăng nữa. Cuối cùng tôi đã hủy cuộc phỏng vấn và tôi cảm thấy như mình đã thất vọng.",5,Stress,0.6568216,
Tôi đang cân nhắc việc tham gia các nhóm hỗ trợ hoặc các buổi trị liệu dành riêng cho việc hàn gắn vết thương sau những mối quan hệ bị ngược đãi. Tôi tin rằng việc kết nối với những người đã trải qua trải nghiệm tương tự có thể cung cấp cho tôi những hiểu biết sâu sắc và công cụ bổ sung để phục hồi.,1,Bipolar,0.9518446,
"I have. At times, I contemplate reaching out to a therapist like you. However, there's a part of me that questions whether they can truly understand what I'm going through. I fear being misunderstood or dismissed, which could further deepen the sense of isolation caused by the heartbreak.",6,Suicidal,0.7074284,
"Chỉnh sửa chính tả của các từ sau: ""konw""",5,Stress,0.71894956,
"Tôi đã thử nhiều chiến lược khác nhau, chẳng hạn như chia nhỏ nhiệm vụ thành những phần nhỏ hơn, dễ quản lý hơn và đặt ra các mục tiêu thực tế. Tôi cũng đang thực hành chánh niệm và nghỉ ngơi ngắn ngày trong ngày. Nhưng bất chấp những nỗ lực của tôi, căng thẳng vẫn cứ chồng chất.",5,Stress,0.99991083,
"Maybe I can start by practicing acts of kindness, like volunteering or helping others in small ways. And as for empathy, I could make an effort to actively listen and understand others' perspectives. And humor...maybe I could focus on finding joy and laughter in everyday moments.",6,Suicidal,0.9665841,
"Tôi chỉ muốn bày tỏ lòng biết ơn vì sự hướng dẫn của bạn. Cuộc trò chuyện này đã mang lại cho tôi cảm giác nhẹ nhõm và lạc quan. Tôi lạc quan rằng bằng cách thực hiện những chiến lược này, tôi có thể củng cố tình bạn của mình và tạo ra sự hòa hợp hơn. Cảm ơn bạn đã thông cảm và giúp đỡ tôi vượt qua điều này.",4,Personality disorder,0.9842993,
Thực ra thì tôi chưa. Tôi lo lắng rằng anh ấy sẽ nghĩ ít hơn về tôi nếu tôi cởi mở về những khó khăn của mình. Tôi không muốn tạo gánh nặng cho anh ấy về những vấn đề của mình.,5,Stress,0.7165243,
"Tôi nghĩ rằng việc tự kiểm điểm bản thân và viết nhật ký thường xuyên sẽ hỗ trợ hành trình của mình. Bằng cách viết ra suy nghĩ và cảm xúc của mình, tôi có thể hiểu rõ hơn về động cơ của mình và xác định được những kiểu lệ thuộc. Nó cũng sẽ cho phép tôi theo dõi tiến trình của mình và ăn mừng những chiến thắng nhỏ.",0,Anxiety,0.759467,
