statement,predicted_label_id,predicted_status,confidence,
"Tôi cảm thấy hy vọng rằng bằng cách tiếp cận anh ấy bằng sự đồng cảm thay vì buộc tội, chúng ta có thể mở ra một cuộc đối thoại. Tôi muốn anh ấy biết rằng tôi luôn ở đây vì anh ấy, bất kể anh ấy đang trải qua điều gì.",4,Personality disorder,0.80788374,
"Tôi đã thử nói chuyện riêng với cả hai người họ. Bạn tôi cảm thấy vợ tôi bác bỏ ý kiến ​​của họ, trong khi vợ tôi lại cho rằng bạn tôi quá thẳng thắn. Nó giống như việc đi trên vỏ trứng để cố gắng cân bằng nhu cầu và cảm xúc của mình.",4,Personality disorder,0.9827596,
"Absolutely. I've been struggling with addiction to alcohol for the past few years. It started off as a way to cope with stress and numb painful emotions, but now it has become a cycle that I can't seem to break. It makes me feel ashamed and lowers my self-worth.",6,Suicidal,0.9855085,
"Tôi cho rằng việc thử cũng không hại gì. Tuy nhiên, tôi không biết bắt đầu từ đâu. Liệu pháp trị liệu có thể giúp tôi chữa lành nỗi đau này như thế nào?",6,Suicidal,0.94128174,
Create a script which prints out all the odd numbers between 1 and 50.?,1,Bipolar,0.9989986,
"Xin chào , tôi hy vọng bạn vẫn ổn. Gần đây tôi cảm thấy tràn đầy hy vọng, nhưng tôi cũng đang phải đối mặt với cuộc chia tay gần đây, điều này gây ra rất nhiều căng thẳng trong công việc.",6,Suicidal,0.97806793,
Cảm ơn bạn rất nhiều. Sự hỗ trợ của bạn có nghĩa là cả thế giới đối với tôi. Tôi sẽ cập nhật cho bạn về hành trình của tôi và tôi rất biết ơn khi có bạn ở bên cạnh tôi trong suốt quá trình này.,1,Bipolar,0.77449894,
Tôi đã nghĩ đến chuyện đó nhưng tôi lại lưỡng lự. Tôi đoán là tôi vẫn không chắc liệu việc nói chuyện với một nhà trị liệu có thực sự tạo ra sự khác biệt hay không. Liệu liệu pháp trị liệu có thực sự giúp tôi chữa lành nỗi đau này không?,4,Personality disorder,0.6865775,
"Chắc chắn. Tôi cảm thấy như một phần của tôi đang bị thiếu. Trước đây, tôi đã có một người tin tưởng tôi vô điều kiện, một người nhắc nhở tôi về giá trị của mình. Bây giờ tôi thấy thật khó để nhìn thấy giá trị của chính mình. Tôi liên tục đặt câu hỏi liệu mình có khả năng tự mình làm được việc gì không.",2,Depression,0.9709061,
Tôi cảm thấy sợ hãi. Sợ làm chồng thất vọng. Gần đây nó đè nặng lên tôi.,1,Bipolar,0.999819,
"Tôi đã học được rằng xung đột với bạn bè là điều bình thường và với sự giao tiếp cởi mở, sự đồng cảm và thỏa hiệp, chúng ta có thể giải quyết được chúng. Tôi cũng nhận ra tầm quan trọng của việc tự chăm sóc bản thân trong quá trình này.",5,Stress,0.641045,
Cảm ơn. Tôi đang cảm thấy hy vọng và tích cực hơn rồi. Tôi rất biết ơn vì có sự hướng dẫn và hỗ trợ của bạn trên hành trình hướng tới một cuộc hôn nhân hạnh phúc và lành mạnh hơn.,1,Bipolar,0.9987966,
Tôi cảm thấy thất vọng vì dường như tôi không thể thoát khỏi cơn nghiện của mình. Tôi thực sự muốn thay đổi nhưng không biết bắt đầu từ đâu.,4,Personality disorder,0.9993247,
"Cảm ơn sự hỗ trợ của bạn. Tôi sẽ cố gắng thực hiện những cuộc trò chuyện đó, ngay cả khi điều đó khiến tôi cảm thấy sợ hãi. Đã đến lúc tôi phải buông bỏ cảm giác trách nhiệm và tội lỗi nặng nề này.",4,Personality disorder,0.6376426,
"Vâng tôi có. Trải qua cuộc chia tay này đã khiến tôi nhận ra tầm quan trọng của việc thiết lập ranh giới và ưu tiên cho hạnh phúc của bản thân. Tôi đã học được rằng tôi xứng đáng có được một mối quan hệ mang lại sự tích cực cho cuộc sống của tôi, thay vì một mối quan hệ khiến tôi thất vọng. Dù đó là một trải nghiệm đau đớn nhưng nó đã dạy cho tôi những bài học quý giá về lòng yêu bản thân và sự quyết đoán.",2,Depression,0.5893304,
Cảm ơn. Tôi chắc chắn sẽ xem xét việc tìm kiếm một người hòa giải có thể hướng dẫn chúng tôi giải quyết xung đột. Tôi đánh giá cao sự hướng dẫn của bạn và giữ một không gian bình tĩnh và đồng cảm để tôi thể hiện bản thân. Thật sự an ủi khi biết rằng có những bước tôi có thể thực hiện để vượt qua những thử thách này.,4,Personality disorder,0.5852957,
"Chà, tôi đã học được cách tự lập và tự chủ hơn. Tôi đã khám phá ra một cảm giác sức mạnh mới được tìm thấy trong bản thân mà tôi không biết là mình có. Thật mạnh mẽ khi nhận ra rằng tôi có thể tự mình phát triển.",4,Personality disorder,0.99965847,
Gần đây tôi cảm thấy thực sự khó chịu và đầy đau buồn. Tôi dường như không thể cắt đứt được mối quan hệ cá nhân của mình.,2,Depression,0.88272834,
"Một nỗi sợ hãi cụ thể mà tôi có là bị tổn thương lần nữa. Tôi lo lắng rằng nếu tôi để mình dễ bị tổn thương, cuối cùng tôi sẽ bị tổn thương giống như mối quan hệ trước đây. Thật khó để tôi có thể buông bỏ nỗi sợ hãi đó và chấp nhận khả năng bị tổn thương một lần nữa.",0,Anxiety,0.45019183,
Cảm ơn. Tôi rất biết ơn khi có một người thực sự muốn hiểu và hỗ trợ tôi trong suốt hành trình này. Nó mang lại cho tôi hy vọng rằng có thể một ngày nào đó tôi sẽ có thể nhìn lại cuộc chia tay này như một trải nghiệm mang tính thay đổi chứ không phải là một vết thương đau đớn.,1,Bipolar,0.5736473,
Cảm ơn sự thông cảm của bạn. Lời nói của bạn mang lại cho tôi niềm an ủi. Tôi sẽ cố gắng đón nhận chương mới này trong cuộc đời mình.,1,Bipolar,0.9441947,
Nghe có vẻ là một kế hoạch đầy hứa hẹn. Tôi đánh giá cao sự hướng dẫn và hỗ trợ của bạn. Tôi bắt đầu cảm thấy một tia hy vọng rằng mọi thứ có thể trở nên tốt hơn và tôi biết ơn vì điều đó. Thật an ủi khi biết rằng tôi không phải đối mặt với điều này một mình.,0,Anxiety,0.58538985,
"
Sắp xếp lại tất cả các chữ cái và tạo thành ba từ khác nhau: 

thực đơn
",5,Stress,0.9484471,
What is the name of the sea located between Europe and Africa?,6,Suicidal,0.904736,
"
Đưa ra đánh giá về một bộ phim dựa trên xếp hạng của nó.: 

Tên Phim: Avatar IMDb: 8.4 Rotten Tomatoes: 83%
",3,Normal,0.9999149,
"Chà, tôi đang suy ngẫm về cuộc đời mình và những lựa chọn mà tôi đã đưa ra. Tôi cảm thấy như mình đã làm bản thân và những người xung quanh thất vọng. Tôi đã dựa vào một số chất kích thích để đối phó với cảm xúc của mình và bây giờ tôi đang tự hỏi liệu có phải lỗi của tôi khiến tôi trở nên nghiện hay không.",2,Depression,0.9995203,
"Trước đây tôi chưa từng nghiêm túc xem xét việc trị liệu. Nhưng có lẽ đã đến lúc tôi phải khám phá lựa chọn đó. Tôi chỉ muốn tìm cách hàn gắn vết thương và tiến về phía trước, dù hiện tại điều đó là không thể.",4,Personality disorder,0.99986506,
