statement,predicted_label_id,predicted_status,confidence
"Chà, tôi luôn thích vẽ tranh và dành thời gian cho thiên nhiên. Những hoạt động đó khiến tôi cảm thấy có nền tảng và cho phép tôi thể hiện bản thân một cách lành mạnh. Có lẽ tôi nên dành nhiều thời gian hơn cho họ.",3,Normal,0.18671684
"Đúng, tôi có, nhưng đôi khi có cảm giác như họ không hiểu điều này ảnh hưởng đến tôi sâu sắc đến mức nào. Tôi cần tìm cách nâng cao lòng tự trọng và lấy lại niềm tin vào bản thân.",3,Normal,0.18443686
"Cảm ơn. Sự động viên của bạn có ý nghĩa rất lớn với tôi. Bất chấp nỗi sợ hãi ban đầu, có lẽ tôi có thể tìm thấy niềm vui và sự thỏa mãn khi chơi một nhạc cụ. Tôi sẽ thử và giữ một tâm trí cởi mở để xem hành trình này sẽ đưa tôi đến đâu.",0,Anxiety,0.1850328
Gần đây tôi cảm thấy rất mất tập trung. Tôi dường như không thể tập trung vào bất cứ điều gì và điều đó bắt đầu làm tôi lo lắng. Tôi nghĩ tôi cần một sự thay đổi.,3,Normal,0.21325111
Viết mã để thực hiện sắp xếp bong bóng,6,Suicidal,0.20417531
"Này , tôi thực sự biết ơn vì có cơ hội được nói chuyện với bạn. Gần đây cảm xúc dâng trào và tôi không thể không cảm thấy hào hứng khi chia sẻ câu chuyện của mình. Bạn thấy đấy, tôi vừa trải qua một cuộc chia tay và điều đó đã làm rung chuyển thế giới của tôi. Đối tác cũ của tôi đã lừa dối tôi và tôi chưa bao giờ thấy điều đó sẽ xảy ra.",3,Normal,0.18189308
"Chúng tôi đã có những kỷ niệm tuyệt vời cùng nhau. Chúng tôi đã chia sẻ những tiếng cười, những cuộc phiêu lưu và những câu chuyện cười nội tâm. Có những lúc tôi cảm thấy mình là người may mắn nhất thế giới.",3,Normal,0.18085791
"I depended on my ex for emotional support, validation, and love. They made me feel valued and important. My happiness seemed to revolve around them, and now that they're gone, I feel empty and lost.",4,Personality disorder,0.21608947
"Tất nhiên rồi. Người tôi đã mất chính là mẹ tôi. Cô ấy là tảng đá của tôi, người hướng dẫn và người bạn thân nhất của tôi. Chúng tôi đã cùng nhau chia sẻ rất nhiều khoảnh khắc đáng trân trọng, và sự vắng mặt của cô ấy đã để lại một khoảng trống trong cuộc đời tôi. Cô ấy có khả năng đáng kinh ngạc là khiến mọi người xung quanh cảm thấy được yêu thương và chấp nhận, và tôi muốn tôn vinh di sản của cô ấy bằng cách mang trong mình tình yêu và sự chấp nhận đó.",2,Depression,0.17668867
Their response makes me feel even more isolated and unimportant. I question whether our friendship is worth fighting for if they're not willing to put in the effort to work through these conflicts.,4,Personality disorder,0.23442338
"Tôi... tôi tin vào sức mạnh của sự chữa lành và trưởng thành. Với sự hướng dẫn của bạn, tôi biết mình có thể vượt qua nỗi đau này và tìm ra con đường tốt hơn.",4,Personality disorder,0.1970492
"Xin chào , tôi hy vọng hôm nay bạn làm tốt. Tôi có điều gì đó trong đầu mà tôi cảm thấy xấu hổ. Đó là về cuộc hôn nhân của tôi.",4,Personality disorder,0.17598873
"Tôi có thể bắt đầu bằng việc đặt lịch hẹn với bác sĩ chuyên khoa và nghiên cứu các nguồn uy tín để tìm hiểu thêm về các liệu pháp thay thế. Và sau đó, tôi có thể tạo thói quen hàng ngày bao gồm thực hành thiền chánh niệm và kết hợp các bài tập nhẹ nhàng để kiểm soát cơn đau.",3,Normal,0.19218554
"Cảm ơn. Chà, tôi và vị hôn thê của mình đã ở bên nhau được một thời gian rồi, và tôi nghĩ mình sẽ chỉ cảm thấy phấn khích tột độ khi khoảnh khắc này cuối cùng cũng đến. Nhưng gần đây, những suy nghĩ nghi ngờ và sợ hãi đang len lỏi vào. Tôi lo lắng liệu mình đã sẵn sàng cho sự cam kết trọn đời hay chưa, liệu mình có đưa ra quyết định đúng đắn hay không và liệu mình có thể giải quyết mọi trách nhiệm đi kèm với hôn nhân hay không.",0,Anxiety,0.18333603
"Ngay bây giờ, tôi thực sự cần sự hướng dẫn về cách buông bỏ nỗi sợ hãi của mình và đón nhận khả năng có một khởi đầu mới. Tôi muốn tìm lại hy vọng và tin rằng mình có thể tạo dựng một cuộc sống ý nghĩa và trọn vẹn, ngay cả sau cuộc ly hôn này.",6,Suicidal,0.22940955
"Có, trước đây tôi đã thử các bài tập thở sâu, thiền và thậm chí cả trị liệu. Mặc dù những kỹ thuật này có thể giúp giảm đau tạm thời nhưng nỗi lo lắng thường quay trở lại và khiến bạn cảm thấy choáng ngợp. Cảm giác giống như một trận chiến liên miên mà tôi dường như không thể thắng được.",3,Normal,0.21292116
Tôi mệt quá. Cô ấy đang hút hết năng lượng của tôi.,1,Bipolar,0.1843298
I think the most challenging part has been accepting that it's over and that I have to start over. It's hard to let go of all the plans and dreams we had together.,4,Personality disorder,0.21822727
"Không, tôi nghĩ tôi đã hình dung rõ hơn những gì tôi cần làm bây giờ. Cảm ơn sự hướng dẫn của bạn.",1,Bipolar,0.1999342
"Cảm ơn. Sự hỗ trợ của bạn có ý nghĩa rất lớn đối với tôi. Tôi biết ơn không gian trị liệu này cho phép tôi suy ngẫm, trưởng thành và có được sức mạnh để thực hiện những thay đổi cần thiết trong cuộc sống.",3,Normal,0.20063508
"Chắc chắn rồi. Tôi sẵn sàng tìm hiểu sâu hơn và nỗ lực xây dựng sự chấp nhận bản thân của mình. Điều đó không dễ dàng, nhưng tôi biết nó rất quan trọng đối với sức khỏe tổng thể của tôi. Tôi tin rằng với sự hướng dẫn và hỗ trợ của bạn, tôi có thể vượt qua nỗi lo lắng này và phát triển nhận thức lành mạnh hơn về bản thân.",5,Stress,0.17335233
"Vâng, tôi có. Tôi đã tham khảo ý kiến ​​của nhiều chuyên gia chăm sóc sức khỏe khác nhau, nhưng bất chấp nỗ lực của họ, chúng tôi vẫn chưa tìm ra giải pháp cụ thể để giảm bớt nỗi đau của tôi. Sự không chắc chắn này và sự thiếu tiến bộ trong việc tìm kiếm sự trợ giúp càng làm tăng thêm sự chán nản của tôi.",0,Anxiety,0.21072616
"
Mô tả trải nghiệm khi ăn một loại thực phẩm cụ thể.: 

Một lát pizza dứa.
",6,Suicidal,0.19737892
Chỉ là cảm giác sợ hãi tột độ này khiến tôi không thể lay chuyển được. Tôi thức dậy mỗi sáng với một khối u trong bụng và nó kéo dài suốt cả ngày.,1,Bipolar,0.1816767
"Tôi đã tích cực tìm kiếm và nộp đơn xin việc mới, nhưng quá trình này không thành công. Tôi đã tham dự một số cuộc phỏng vấn nhưng dường như tôi luôn thất bại, điều này chỉ làm tăng thêm cảm giác ghen tị và sợ hãi của tôi.",2,Depression,0.18544753
"I've noticed that tight deadlines and high-pressure situations tend to trigger my anxiety the most. When I feel like I'm constantly racing against the clock, it's hard to stay calm and focused. Additionally, I often put a lot of pressure on myself to perform at a high level, which adds to the stress.",4,Personality disorder,0.24083346
Thực ra là có đấy. Tôi tò mò về cách tôi có thể tiếp tục nuôi dưỡng và củng cố lòng tự trọng của mình một cách liên tục. Bạn có gợi ý hoặc bài tập nào có thể giúp tôi trong hành trình này không?,3,Normal,0.19870187
"Tôi chưa nghĩ đến việc viết nhật ký, nhưng có lẽ nó có thể giúp tôi xử lý mọi việc tốt hơn. Tôi vốn thích vẽ tranh nên có lẽ tôi nên cầm cọ lên lần nữa.",4,Personality disorder,0.160994
