statement,predicted_label_id,predicted_status,confidence
Tôi nghĩ một trong những vấn đề chính là thông tin sai lệch. Chúng ta thường hiểu lầm ý định của nhau và cuối cùng bị tổn thương. Giống như chúng ta đang nói những ngôn ngữ khác nhau.,4,Personality disorder,0.18390979
"Chắc chắn rồi. Gần đây, tôi đang nỗ lực tham gia vào các hoạt động mang lại cho tôi niềm vui, như vẽ tranh và đi dạo dài trong thiên nhiên. Những khoảnh khắc sáng tạo và kết nối với thế giới xung quanh nhắc nhở tôi rằng có rất nhiều vẻ đẹp được tìm thấy ngay cả khi đang gặp khó khăn.",0,Anxiety,0.19000933
Tôi đã nghe nói về lòng trắc ẩn với bản thân nhưng chưa bao giờ thực sự thực hành nó. Chính xác thì nó hoạt động như thế nào?,6,Suicidal,0.16912618
"Tôi đang đánh giá lại cách tiếp cận của mình và tìm kiếm phản hồi từ những người cố vấn. Tôi cũng đang học những kỹ năng mới để nâng cao trình độ của mình. Tuy nhiên, thật đáng thất vọng khi nỗ lực của tôi dường như không mang lại kết quả như mong muốn.",5,Stress,0.17956898
"I've been trying to remind myself that I'm doing my best, but sometimes it's hard to silence those nagging thoughts in my head. I've also been talking to friends, which has provided some reassurance.",2,Depression,0.1858102
"Ngoài cơn đau mãn tính, gần đây tôi còn bị căng thẳng nhiều hơn, điều này chắc chắn ảnh hưởng đến sức khỏe tổng thể của tôi. Việc tìm kiếm sự cân bằng lành mạnh giữa công việc và chăm sóc bản thân ngày càng khó khăn hơn.",5,Stress,0.1785725
"Hi , I hope you're doing well. I've been feeling really insecure lately, especially when it comes to my family. I've been going through a heartbreak, and it's been challenging to cope with all these emotions.",2,Depression,0.20576319
"What is the term used to describe a martial arts practice where practitioners engage in controlled, full-contact sparring with protective gear?",6,Suicidal,0.19262782
"Gần đây tôi cảm thấy buồn, tất cả là do mối quan hệ của tôi.",3,Normal,0.2550204
Tôi đoán... tôi luôn cố gắng tự mình giải quyết mọi việc. Nhưng có lẽ đã đến lúc phải thừa nhận rằng tôi cần được hướng dẫn. Có phương pháp điều trị hoặc kỹ thuật cụ thể nào có thể giúp ích không?,2,Depression,0.18004656
"Chà, tôi nghĩ một số kỳ vọng đến từ nỗ lực thành công của cá nhân tôi. Tuy nhiên, tôi cũng tin rằng có áp lực từ bên ngoài từ khả năng cạnh tranh trong lĩnh vực của tôi và nỗi sợ bị tụt lại phía sau.",0,Anxiety,0.18302126
Generate a short description about a fictional character - a space traveler.?,2,Depression,0.2108373
"Chà, tôi liên tục nghi ngờ bản thân và khả năng của mình. Tôi sợ rằng tôi đang lừa dối người khác rằng tôi tốt hơn thực tế.",6,Suicidal,0.22848368
"Well, I've tried deep breathing exercises and journaling to release some of the tension. I also find solace in spending time alone in nature. It helps me to temporarily escape from the chaos in my mind. But lately, it feels like these coping mechanisms are less effective, and I find myself being consumed by anxiety even more.",2,Depression,0.19154432
"Tôi chưa thực sự chú ý nhiều đến chế độ ăn uống của mình, nhưng tôi hiểu tầm quan trọng của việc lựa chọn thực phẩm lành mạnh hơn. Tôi sẽ nỗ lực có ý thức để bổ sung nhiều trái cây và rau quả hơn vào bữa ăn của mình.",5,Stress,0.21497507
  I feel like I'm constantly anxious and have trouble sleeping. What could be wrong with me? ,2,Depression,0.21563926
"Tôi hy vọng rằng bằng cách tập trung vào bản thân và hạnh phúc của bản thân, tôi có thể trở nên tự tin và quyết đoán hơn trong việc bày tỏ nhu cầu của mình với anh ấy. Có lẽ cuối cùng anh ấy cũng sẽ hiểu tôi quan trọng với anh ấy như thế nào.",3,Normal,0.17619647
Kể tên một số loài động vật có thể sống ở vùng khí hậu lạnh.,3,Normal,0.19350852
Tôi nghĩ rằng điều đó bao gồm hầu hết nó bây giờ. Thật tốt khi có một kế hoạch và một số hỗ trợ để vượt qua sự thất vọng và áp lực này. Cảm ơn  vì đã lắng nghe tôi và hướng dẫn tôi tìm ra một số giải pháp. Tôi đánh giá cao sự đồng cảm và hiểu biết của bạn.,2,Depression,0.20291609
"À, lớn lên, tôi thường cảm thấy bị bố mẹ bỏ rơi. Cả hai đều bận rộn với công việc và dường như quan tâm đến cuộc sống của chính họ hơn tôi. Tôi cảm thấy như mình đang không ngừng tìm kiếm sự quan tâm và tình yêu của họ, nhưng điều đó luôn lảng tránh tôi. Cảm giác trống rỗng bên trong đã khiến tôi tìm kiếm niềm an ủi trong các chất kích thích, sử dụng chúng như một cách để thoát khỏi nỗi đau và lấp đầy khoảng trống.",2,Depression,0.23942846
"Đó là chứng nghiện mạng xã hội. Tôi thấy mình liên tục lướt web, so sánh mình với người khác và cảm thấy mình vô dụng. Đó là một vòng luẩn quẩn của nỗi buồn không bao giờ kết thúc.",0,Anxiety,0.20029807
"Tôi đã cố gắng rồi, nhưng có vẻ như họ không hiểu. Họ bảo tôi hãy vượt qua nó và bước tiếp. Cứ như thể cuộc đấu tranh của tôi không quan trọng với họ.",6,Suicidal,0.17360233
"Tôi hình dung những cuộc trò chuyện này là cơ hội để chữa lành và phát triển. Tôi hy vọng rằng thông qua đối thoại cởi mở, thấu hiểu và tha thứ, tôi có thể xây dựng lại niềm tin với những người tôi đã làm tổn thương. Tôi muốn tạo ra một không gian nơi chúng ta có thể bày tỏ cảm xúc của mình một cách trung thực và cùng nhau tìm ra giải pháp hoặc thỏa hiệp. Cuối cùng, tôi hy vọng sẽ có những kết nối bền chặt hơn, chân thực hơn được xây dựng trên sự tin tưởng, đồng cảm và hỗ trợ lẫn nhau.",1,Bipolar,0.2262116
"Bạn nói đúng. Nó đã ảnh hưởng đến tôi theo nhiều cách khác nhau. Tôi thấy mình liên tục đặt câu hỏi liệu cô ấy có còn yêu tôi không hay cô ấy đã mất hứng thú. Giống như tôi đang đi trên vỏ trứng, sợ làm hay nói bất cứ điều gì có thể đẩy cô ấy ra xa.",1,Bipolar,0.20645255
"Tôi nghĩ bây giờ, đây là một điểm khởi đầu tốt. Cảm ơn bạn đã lắng nghe và hướng dẫn tôi. Tôi cảm thấy bớt cô đơn hơn một chút trong nỗi đau buồn của mình.",2,Depression,0.1795632
"I suppose I fear their reaction and the possibility of being dismissed or not taken seriously. I don't want to be seen as another source of conflict, so I keep my feelings bottled up.",2,Depression,0.19391619
Đó là lời khuyên tuyệt vời! Tôi sẽ bắt đầu thực hiện những thay đổi đó ngay lập tức. Bây giờ tôi cảm thấy hy vọng hơn khi biết rằng tôi có thể kiểm soát sức khỏe của mình theo một cách nào đó.,5,Stress,0.17500708
"Tôi đã thử một số cách, chẳng hạn như tập thể dục hoặc dành thời gian hòa mình vào thiên nhiên, nhưng tôi phải thừa nhận rằng việc tìm ra những cách lành mạnh để đối phó là một thử thách. Giống như cơn nghiện của tôi đã trở thành một thói quen mạnh mẽ đến mức khó có thể thoát khỏi sự kìm kẹp của nó.",2,Depression,0.1839695
Chào ! Hôm nay tôi cảm thấy thật yên bình và dường như tôi có cảm giác mới về việc kiểm soát cuộc sống của mình. Nó vô cùng thú vị!,5,Stress,0.18702933
That sounds helpful. I'll make a conscious effort to practice active listening during our conversations.,2,Depression,0.19882643
"Điều đó khiến tôi thực sự khó cởi mở và để mọi người bước vào. Tôi luôn lo lắng về việc bị tổn thương lần nữa, vì vậy tôi luôn cảnh giác. Nó giống như một bản năng bảo vệ nhưng cũng ngăn cản tôi hình thành những kết nối thực sự.",1,Bipolar,0.26872626
  I'm having trouble with motivation and procrastination. ,6,Suicidal,0.17808387
"Cảm ơn sự hỗ trợ không ngừng nghỉ của bạn. Sự đồng cảm và hướng dẫn của bạn có ý nghĩa rất lớn đối với tôi. Tôi sẽ tiếp tục nỗ lực thể hiện cảm xúc của mình, nuôi dưỡng lòng từ bi với bản thân và chữa lành vết thương thông qua việc viết nhật ký. Tôi biết điều đó sẽ không dễ dàng, nhưng tôi cam kết xây dựng lại lòng tự trọng của mình.",2,Depression,0.15684779
"Tôi nghĩ nguyên nhân chính là việc so sánh bản thân với người khác. Dù là trên mạng xã hội hay trong cuộc sống cá nhân, tôi thấy mình liên tục so sánh thành tích và ngoại hình của mình với những người xung quanh. Nó giống như một chu kỳ không bao giờ kết thúc của cảm giác thiếu thốn.",1,Bipolar,0.213541
"Tôi cho rằng bạn đúng, nhưng nếu họ không hiểu thì sao? Điều gì sẽ xảy ra nếu họ cho rằng tôi quá nhạy cảm hoặc phản ứng thái quá? Tôi không muốn mất họ, mặc dù tôi cảm thấy bị phản bội.",3,Normal,0.187025
"Xin chào , tôi hy vọng bạn có thể giúp tôi hôm nay. Tôi cảm thấy thực sự lo sợ khi đưa ra quyết định liên quan đến vấn đề sức khỏe của mình. Gần đây nó đè nặng lên tôi và khiến tôi rất lo lắng.",5,Stress,0.1654084
"Tôi biết rồi, nhưng có vẻ như họ đang bị cuốn vào thế giới riêng của mình. Họ đã trở nên xa cách và không có cảm xúc. Như thể họ đang mang nỗi đau riêng của mình nhưng không cho tôi vào.",1,Bipolar,0.21304613
Explain why technology is important in business?,4,Personality disorder,0.18097827
"I'll keep a journal with me at all times, documenting my thoughts and emotions. It will serve as a reminder of my journey and the positive changes I'm making. Additionally, I'll explore creative outlets like art and music to express and channel my emotions constructively.",2,Depression,0.21544668
", nguồn động lực và sự hỗ trợ lớn nhất của tôi là ý nghĩ sống một cuộc sống mà chứng trầm cảm không cản trở tôi. Tôi được thúc đẩy bởi ý tưởng khám phá tiềm năng thực sự của mình và đón nhận một tương lai tràn ngập hạnh phúc và viên mãn. Và tất nhiên, sự ủng hộ và yêu thương không ngừng từ bạn bè và gia đình đã tiếp thêm sức mạnh cho tôi trên mỗi bước đường.",5,Stress,0.22166698
"My dad is always, and I mean always, cussing and screaming at me for no reason at all. He makes me feel stupid. He also compares me to my other siblings in a negative way and demeans me. Is this abuse?",2,Depression,0.17900361
"Thực ra, tôi đã rất do dự khi liên hệ với bạn bè thân thiết và gia đình của mình về việc này. Tôi không muốn tạo gánh nặng cho họ bằng nỗi đau của mình. Nhưng có lẽ việc cởi mở với họ và chia sẻ những khó khăn của mình có thể đưa chúng ta đến gần nhau hơn. Bạn có nghĩ nó đáng để thử không?",2,Depression,0.18440966
"Tôi tin rằng việc thiết lập ranh giới rõ ràng và quản lý thời gian hiệu quả sẽ là chìa khóa để duy trì sự cân bằng giữa công việc và cuộc sống trong suốt quá trình này. Ngoài ra, tham gia vào các hoạt động mang lại cho tôi niềm vui và giúp tôi nạp lại năng lượng ngoài công việc sẽ giúp tôi luôn vững vàng.",2,Depression,0.18793397
"Xin chào , hy vọng bạn có một ngày tốt lành. Gần đây tôi cảm thấy rất bình yên trong tâm hồn, nhưng có một điều khiến tôi bận tâm và muốn chia sẻ. Có một người trong cuộc đời tôi, một người phụ nữ tên Sarah, và cô ấy đang phải vật lộn với chứng nghiện. Tôi muốn giúp cô ấy, nhưng tôi không biết bắt đầu từ đâu.",3,Normal,0.2014408
Tôi nghĩ điều đó giải quyết hầu hết những mối quan tâm của tôi lúc này. Cảm ơn bạn đã hướng dẫn và giúp tôi lấy lại được quan điểm.,1,Bipolar,0.19412407
Sáng tác một bài hát ở C trưởng.,3,Normal,0.18007419
"Tôi cảm thấy một sự kết hợp của sự phấn khích và lo lắng. Sự phấn khích vì nó có thể dẫn đến những cơ hội mới, nhưng lại lo lắng vì tôi sợ bị từ chối hoặc có thể xảy ra xung đột với người chủ hiện tại của mình.",1,Bipolar,0.21247333
Tôi vốn rất thích vẽ tranh. Có lẽ tôi nên cầm cọ vẽ lên lần nữa. Đó có thể là một cách để thể hiện bản thân và tìm thấy chút bình yên giữa sự hỗn loạn.,5,Stress,0.20629226
"Đúng, có một số khuôn mẫu nhất định dường như khiến xung đột kéo dài. Thiếu giao tiếp hiệu quả là một yếu tố chính. Chúng ta thường hiểu lầm ý định của nhau và cuối cùng lại tranh cãi thay vì lắng nghe với sự đồng cảm. Ngoài ra, những bất bình chưa được giải quyết trong quá khứ và những nhu cầu tình cảm chưa được đáp ứng lại nổi lên và thúc đẩy xung đột.",3,Normal,0.21755059
"She said that she couldn't handle my insecurities anymore. I always doubted her love and questioned her loyalty, even though she gave me no reason to doubt her.",4,Personality disorder,0.1744641
"Thành thật mà nói, chỉ nghĩ đến việc có cuộc trò chuyện đó thôi cũng khiến tôi lo lắng. Nhưng trong sâu thẳm, tôi biết rằng việc giải quyết trực tiếp vấn đề là điều quan trọng để tìm ra giải pháp và lấy lại cảm giác bình yên trong nội tâm.",1,Bipolar,0.25985134
"Tôi đã từng chạy bộ, nhưng gần đây, ý nghĩ về hoạt động thể chất chỉ khiến tôi thêm lo lắng. Tôi lo lắng tôi sẽ gây ra một số vấn đề sức khỏe.",0,Anxiety,0.1688859
"Thật mệt mỏi. Tôi liên tục cảm thấy kiệt sức và lo lắng, giống như tôi phải rón rén đi xung quanh mọi người để tránh gây ra nhiều tranh cãi hơn nữa. Tôi không thể không cảm thấy có trách nhiệm với hạnh phúc của mọi người, mặc dù tôi biết đó không hoàn toàn là công việc của mình.",2,Depression,0.18971129
"I'm... uh... I'm feeling a bit embarrassed about this, but... I recently went through a breakup. It's been tough for me because we were not only in a romantic relationship, but also had a strong friendship.",2,Depression,0.17872192
