statement,predicted_label_id,predicted_status,confidence
Tôi đã thử lập danh sách việc cần làm và đặt lời nhắc nhưng dường như không phải lúc nào chúng cũng làm giảm bớt căng thẳng. Có cảm giác như luôn có một áp lực phải thực hiện và đáp ứng những kỳ vọng không thực tế.,5,Stress,0.99990225
I'll keep that in mind. I'm determined to turn this conflict into an opportunity for growth and positive change. I want to rebuild the trust and strengthen the bond with my friends. Thank you for your guidance and support.,4,Personality disorder,0.4472863
"I think for now, this has been really helpful. I feel lighter just by talking about it. Thank you again.",5,Stress,0.9834647
Nghe co vẻ như la một kê hoạch tôt đây. Tôi đánh giá cao sự hướng dẫn và hỗ trợ của bạn. Thật vui khi có ai đó để nói chuyện về tất cả những điều này.,4,Personality disorder,0.8760642
"Chà, bạn thấy đấy, tôi luôn có giấc mơ tưởng tượng này, giấc mơ trở thành hiện thực mà tôi quá xấu hổ để nói về nó. Đó là một mong muốn được giấu sâu trong lòng nhưng nó cứ đè nặng lên tôi và tôi không thể phớt lờ nó được nữa.",4,Personality disorder,0.9733902
"Lúc này tôi đang cảm thấy rất bối rối. Tôi như lạc vào mê cung của những lo âu và không tìm được lối ra. Sự lo lắng của tôi đã lấn át và nó ảnh hưởng đến mọi khía cạnh của cuộc sống, bao gồm cả tài chính của tôi.",5,Stress,0.9380651
"I feel a mix of nervousness and relief. It's scary to open up, but also freeing to know that I might be able to explain myself better through a letter. I'll give it a shot and see where it takes me.",5,Stress,0.8141419
Tôi đánh giá cao lời khuyên. Tôi chắc chắn sẽ nỗ lực ưu tiên việc chăm sóc bản thân. Thật thú vị khi nghĩ về việc áp dụng những thay đổi này có thể dẫn đến một phiên bản nhẹ nhàng và thoải mái hơn của bản thân như thế nào.,5,Stress,0.9948997
Tình yêu và sự hỗ trợ của họ đã cho tôi can đảm và sức mạnh để đối mặt trực tiếp với cơn nghiện của mình. Biết rằng tôi có một gia đình yêu thương luôn tin tưởng vào tôi đã giúp nâng cao lòng tự trọng của tôi và thúc đẩy tôi đi đúng hướng. Họ liên tục nhắc nhở tôi về giá trị của mình và mang đến sự an toàn khi mọi thứ trở nên khó khăn. Nó thực sự đáng chú ý.,4,Personality disorder,0.998609
Một trong những thách thức lớn nhất là chấp nhận mất mát và thực tế là mọi thứ sẽ không bao giờ như cũ nữa. Thật khó để buông bỏ.,3,Normal,0.8145441
Thật khó để tin rằng tôi vẫn còn điểm mạnh nhưng tôi sẵn sàng thử. Tôi chỉ hy vọng là chưa quá muộn.,6,Suicidal,0.9997087
